Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
polo-ralph-lauren-navy-check-shirt,Polo Ralph Lauren — Navy check shirt,"<p>Chemise Ralph Lauren, fins carreaux navy/blanc, manches longues. Neuve avec étiquette. Taille XS. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-blue-gingham-shirt,Polo Ralph Lauren — Blue gingham shirt,"<p>Chemise Polo Ralph Lauren, vichy bleu/blanc, manches longues. Neuve avec étiquette. Taille S. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-blue-stripe-oxford-shirt,Polo Ralph Lauren — Blue stripe oxford shirt,"<p>Chemise Polo Ralph Lauren, rayures bleu/blanc, oxford. Neuve avec étiquette. Taille S. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-emerald-shirt,Polo Ralph Lauren — Emerald shirt,"<p>Chemise Polo Ralph Lauren, vert émeraude uni. Neuve avec étiquette. Taille S. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-navy-shirt,Polo Ralph Lauren — Navy shirt,"<p>Chemise Polo Ralph Lauren, bleu marine uni. Neuve avec étiquette. Taille L. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-blue-oxford-shirt,Polo Ralph Lauren — Blue oxford shirt,"<p>Chemise Polo Ralph Lauren, bleu clair uni, oxford. Neuve avec étiquette. Taille XXL. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white-navy-sneaker,Polo Ralph Lauren — White navy sneaker,"<p>Basket Polo Ralph Lauren, blanche talon marine. Neuve avec étiquette. Taille 9. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,basket,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white-gum-sneaker,Polo Ralph Lauren — White gum sneaker,"<p>Basket Polo Ralph Lauren, blanc cassé, semelle gomme marron. Neuve avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,basket,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-black-sneaker,Polo Ralph Lauren — Black sneaker,"<p>Basket Polo Ralph Lauren, noire. Neuve avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,basket,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-navy-retro-sneaker,Polo Ralph Lauren — Navy retro sneaker,"<p>Basket Polo Ralph Lauren, marine/écru, style running rétro. Neuve avec étiquette. Taille 13. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,basket,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white-black-sneaker,Polo Ralph Lauren — White black sneaker,"<p>Basket Polo Ralph Lauren, blanc/noir, style running. Neuve avec étiquette. Taille 8. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,basket,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-brown-green-sneaker,Polo Ralph Lauren — Brown green sneaker,"<p>Basket Polo Ralph Lauren, marron/vert, daim. Neuve avec étiquette. Taille 10. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,basket,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-green-espadrille,Polo Ralph Lauren — Green espadrille,"<p>Espadrille Polo Ralph Lauren, verte. Neuve avec étiquette. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,espadrille,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-bordeaux-polo,Polo Ralph Lauren — Bordeaux polo,"<p>Polo Ralph Lauren, bordeaux chiné, manches courtes. Neuf avec étiquette. Taille XS. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-black-sweater,Polo Ralph Lauren — Black sweater,"<p>Pull Ralph Lauren, noir, col rond. Neuf avec étiquette. Taille XXL. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,pull,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-green-cargo-pants,Polo Ralph Lauren — Green cargo pants,"<p>Pantalon Ralph Lauren, dungaree vert kaki. Neuf avec étiquette. Taille 34x32. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,pantalon,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white-sportsman-hoodie,Polo Ralph Lauren — White Sportsman hoodie,"<p>Sweat à capuche Polo Ralph Lauren, blanc, graphique Polo Sportsman. Neuf avec étiquette. Taille M. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,sweat,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-grey-sweater,Polo Ralph Lauren — Grey sweater,"<p>Pull Ralph Lauren, gris chiné, maille épaisse. Neuf avec étiquette. Taille XXL. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,pull,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-navy-suede-jacket,Polo Ralph Lauren — Navy suede jacket,"<p>Blouson Polo Ralph Lauren, daim, Suede Gunners. Neuf avec étiquette. Taille S. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,blouson,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-khaki-jacket,Polo Ralph Lauren — Khaki jacket,"<p>Blouson Polo Ralph Lauren, beige/kaki, doublé. Neuf avec étiquette. Taille XXL. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,blouson,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white-hoodie,Polo Ralph Lauren — White hoodie,"<p>Sweat à capuche Polo Ralph Lauren, blanc uni. Neuf avec étiquette. Taille M. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,sweat,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-navy-hoodie,Polo Ralph Lauren — Navy hoodie,"<p>Sweat à capuche Polo Ralph Lauren, bleu marine. Neuf avec étiquette. Taille XS. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,sweat,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
