Handle,Title,Vendor,Type,Tags,Option1 Name,Option1 Value
polo-ralph-lauren-green,Polo — Green,Polo Ralph Lauren,polo,homme,Title,Default Title
polo-ralph-lauren-orange,Polo — Orange,Polo Ralph Lauren,polo,homme,Title,Default Title
polo-ralph-lauren-pink,Polo — Pink,Polo Ralph Lauren,polo,homme,Title,Default Title
polo-ralph-lauren-purple,Polo — Purple,Polo Ralph Lauren,polo,homme,Title,Default Title
polo-ralph-lauren-red,Polo — Red,Polo Ralph Lauren,polo,homme,Title,Default Title
polo-ralph-lauren-white,Polo — White,Polo Ralph Lauren,polo,homme,Title,Default Title
polo-ralph-lauren-white-with-red-and-black-stripe,Polo — white with red and black stripe,Polo Ralph Lauren,polo,homme,Title,Default Title
polo-ralph-lauren-yellow,Polo — Yellow,Polo Ralph Lauren,polo,homme,Title,Default Title
shirt-ralph-lauren-beige-and-white-stripes,Shirt — Beige & White stripes,Polo Ralph Lauren,chemise,homme,Title,Default Title
shirt-ralph-lauren-blue-and-white-stripes,Shirt — Blue & White stripes,Polo Ralph Lauren,chemise,homme,Title,Default Title
shirt-ralph-lauren-blue-and-white-stripes-1,Shirt — Blue & White stripes,Polo Ralph Lauren,chemise,homme,Title,Default Title
shirt-ralph-lauren-light-blue-and-white-stripes,Shirt — Light Blue & White stripes,Polo Ralph Lauren,chemise,homme,Title,Default Title
shirt-ralph-lauren-pink-and-white-stripes,Shirt — Pink & White stripes,Polo Ralph Lauren,chemise,homme,Title,Default Title
vest-ralph-lauren-white,Vest — White,Polo Ralph Lauren,gilet,homme,Title,Default Title
